"gameId","platformId","gameCreation","gameDuration","queueId","mapId","seasonId","gameVersion","gameMode","gameType","teamId","win","firstBlood","firstTower","firstInhibitor","firstBaron","firstDragon","firstRiftHerald","towerKills","inhibitorKills","baronKills","dragonKills","vilemawKills","riftHeraldKills","dominionVictoryScore","participantId","championId","spell1Id","spell2Id","highestAchievedSeasonTier","item0","item1","item2","item3","item4","item5","item6","kills","deaths","assists","largestKillingSpree","largestMultiKill","killingSprees","longestTimeSpentLiving","doubleKills","tripleKills","quadraKills","pentaKills","unrealKills","totalDamageDealt","magicDamageDealt","physicalDamageDealt","trueDamageDealt","largestCriticalStrike","totalDamageDealtToChampions","magicDamageDealtToChampions","physicalDamageDealtToChampions","trueDamageDealtToChampions","totalHeal","totalUnitsHealed","damageSelfMitigated","damageDealtToObjectives","damageDealtToTurrets","visionScore","timeCCingOthers","totalDamageTaken","magicalDamageTaken","physicalDamageTaken","trueDamageTaken","goldEarned","goldSpent","turretKills","totalMinionsKilled","neutralMinionsKilled","neutralMinionsKilledTeamJungle","neutralMinionsKilledEnemyJungle","totalTimeCrowdControlDealt","champLevel","visionWardsBoughtInGame","sightWardsBoughtInGame","wardsPlaced","wardsKilled","firstBloodKill","firstBloodAssist","firstTowerKill","firstTowerAssist","firstInhibitorKill","firstInhibitorAssist","combatPlayerScore","objectivePlayerScore","totalPlayerScore","totalScoreRank","playerScore0","playerScore1","playerScore2","playerScore3","playerScore4","playerScore5","playerScore6","playerScore7","playerScore8","playerScore9","perk0","perk0Var1","perk0Var2","perk0Var3","perk1","perk1Var1","perk1Var2","perk1Var3","perk2","perk2Var1","perk2Var2","perk2Var3","perk3","perk3Var1","perk3Var2","perk3Var3","perk4","perk4Var1","perk4Var2","perk4Var3","perk5","perk5Var1","perk5Var2","perk5Var3","perkPrimaryStyle","perkSubStyle","statPerk0","statPerk1","statPerk2","creepsPerMinDeltas_10-20","creepsPerMinDeltas_0-10","xpPerMinDeltas_10-20","xpPerMinDeltas_0-10","goldPerMinDeltas_10-20","goldPerMinDeltas_0-10","damageTakenPerMinDeltas_10-20","damageTakenPerMinDeltas_0-10","lane","role","creepsPerMinDeltas_30-end","creepsPerMinDeltas_20-30","xpPerMinDeltas_30-end","xpPerMinDeltas_20-30","goldPerMinDeltas_30-end","goldPerMinDeltas_20-30","csDiffPerMinDeltas_10-20","csDiffPerMinDeltas_0-10","csDiffPerMinDeltas_30-end","csDiffPerMinDeltas_20-30","xpDiffPerMinDeltas_10-20","xpDiffPerMinDeltas_0-10","xpDiffPerMinDeltas_30-end","xpDiffPerMinDeltas_20-30","damageTakenPerMinDeltas_30-end","damageTakenPerMinDeltas_20-30","damageTakenDiffPerMinDeltas_10-20","damageTakenDiffPerMinDeltas_0-10","damageTakenDiffPerMinDeltas_30-end","damageTakenDiffPerMinDeltas_20-30"
688112603,"LA1",1555438219379,2019,420,11,13,"9.7.269.2391","CLASSIC","MATCHED_GAME",100,false,true,true,false,false,true,true,6,0,0,3,0,1,0,2,120,14,4,"PLATINUM",2033,3065,0,3156,3078,3111,3340,5,7,8,3,2,1,700,1,0,0,0,0,102647,7570,90134,4942,0,16882,3138,11585,2158,7360,1,19276,8005,4625,15,15,28074,5718,19745,2609,12715,11458,0,170,0,0,0,52,15,1,0,11,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,804,398,764,9111,741,260,0,9105,16,20,0,8014,265,0,0,8352,313,1426,844,8345,4,0,0,8000,8300,5008,5008,5003,4.4,7.9,434.40000000000003,409.70000000000005,342.5,247.4,556.4000000000001,399.2,"MIDDLE","SOLO",,3.7,,439.4,,473.70000000000005,-0.2999999999999998,-0.10000000000000009,,0.5999999999999999,121.60000000000002,-44.400000000000006,,-134.10000000000002,,1334.4,82.50000000000006,164.39999999999998,,645.4
677646603,"LA1",1552937539639,1899,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,false,true,false,false,false,false,false,3,0,0,1,0,0,0,8,85,12,4,"PLATINUM",3135,3152,3157,0,3020,1054,3363,4,4,10,2,1,1,727,0,0,0,0,0,95886,64706,23430,7750,0,19958,17554,2404,0,3838,1,14662,3582,3089,33,25,23776,9701,12281,1793,10663,9775,1,139,2,1,0,70,15,3,0,14,6,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,625,13,0,8304,9,3,0,8345,4,0,0,8347,0,0,0,8139,964,0,0,8135,2191,5,0,8300,8100,5005,5003,5001,5.1,5.7,428.1,404.9,315.7,261.4,832.1,241,"TOP","SOLO",,2.9,,534.3,,361.6,,,,,,,,,,885.5,,,,
677633470,"LA1",1552935133938,1665,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,true,true,true,true,true,true,true,10,1,1,4,0,1,0,6,99,21,4,"PLATINUM",0,3165,3020,3285,1056,3135,3363,6,1,8,6,2,1,438,1,0,0,0,0,153464,127255,16596,9611,0,20332,19288,1044,0,986,1,5149,9181,7545,19,41,8021,5110,2861,49,12128,10800,3,197,1,0,1,282,15,2,0,9,2,false,false,false,true,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2167,0,0,8226,250,707,0,8210,0,0,0,8237,414,0,0,8316,1379,0,0,8347,0,0,0,8200,8300,5008,5008,5001,7.2,7.4,483.5,478.3,452.1,302,293.6,271.2,"MIDDLE","SOLO",,,,,,,1.5,-0.10000000000000009,,,138.7,22.900000000000034,,,,,-176,-38.3,,
677292034,"LA1",1552852013746,1529,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,true,false,false,true,false,true,true,11,0,0,2,0,1,0,8,61,21,4,"PLATINUM",3135,3285,0,3020,1052,1056,3340,5,4,6,3,1,2,557,0,0,0,0,0,100238,77582,11162,11493,0,12144,11227,917,0,1719,1,6933,9986,8209,20,15,12058,6571,4559,927,9709,8135,2,146,0,0,0,739,14,2,0,10,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,882,0,0,8226,250,584,0,8210,0,0,0,8237,207,0,0,8316,791,0,0,8347,0,0,0,8200,8300,5008,5008,5001,4.8,6.5,423.7,403.6,368.20000000000005,259.4,530.4000000000001,299.3,"MIDDLE","SOLO",,,,,,,-0.10000000000000009,0.5,,,66,-42.400000000000006,,,,,-165.7,-57.19999999999996,,
677277884,"LA1",1552850166581,1249,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",100,true,false,true,true,false,true,true,10,1,0,2,0,1,0,3,30,21,4,"PLATINUM",1056,0,3020,3191,1082,3027,3340,6,1,2,4,2,2,640,1,0,0,0,0,75147,69431,4852,862,0,13126,12688,259,178,2197,1,3127,5090,3560,10,9,6209,1012,5123,74,8208,6050,2,131,0,0,0,100,12,2,0,7,1,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,557,9,0,8126,232,0,0,8138,15,0,0,8135,1494,5,0,8210,0,0,0,8236,24,0,0,8100,8200,5008,5008,5001,5.800000000000001,7.300000000000001,506.4,429.8,376.2,312.9,409.5,192.3,"MIDDLE","SOLO",,,,,,,1.3000000000000003,-0.5,,,114.49999999999997,-27.799999999999955,,,,,-272.9,-29.099999999999994,,
676822729,"LA1",1552763615741,1422,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,true,false,true,true,true,true,true,8,0,1,2,0,1,0,6,99,21,4,"PLATINUM",1058,0,1058,3285,3020,1056,3363,2,3,12,0,1,0,1007,0,0,0,0,0,83699,66325,11839,5534,0,12313,11729,584,0,0,0,7032,5246,3140,23,31,10461,4174,6026,260,8591,8110,1,135,0,0,0,127,13,3,0,11,2,false,false,false,true,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1238,0,0,8226,250,640,0,8210,0,0,0,8237,312,0,0,8316,666,0,0,8347,0,0,0,8200,8300,5008,5008,5001,4.9,8.1,437.4,475.2,420.3,266.2,505.9,132.1,"MIDDLE","SOLO",,,,,,,-0.8000000000000003,1,,,129.7,0.5999999999999659,,,,,-363.1,-50.000000000000014,,
676810947,"LA1",1552761854470,1275,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",100,true,true,false,true,false,true,false,7,0,0,2,0,0,0,4,99,21,4,"PLATINUM",3089,1029,0,3285,1056,3020,3363,5,2,11,2,1,2,432,0,0,0,0,0,102108,82722,13978,5407,0,13780,12235,1545,0,0,0,6227,6729,6456,17,45,8931,2897,5619,414,10090,9000,1,148,0,0,0,216,13,2,0,8,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1241,0,0,8226,250,749,0,8210,0,0,0,8237,276,0,0,8316,986,0,0,8347,0,0,0,8200,8300,5008,5008,5001,7.8,6.199999999999999,524.7,484,482.9,384.1,515.3,223.9,"MIDDLE","SOLO",,,,,,,0.7999999999999998,0.2999999999999994,,,-32,79.29999999999998,,,,,195.69999999999996,-148.7,,
676588313,"LA1",1552700380317,1644,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",100,true,true,false,true,false,true,true,11,0,0,3,0,1,0,2,99,21,4,"PLATINUM",3165,3191,3135,3285,3020,3108,3363,13,3,7,4,2,4,583,1,0,0,0,0,143510,119076,15024,9409,0,23233,21559,1436,236,1120,1,9261,11852,11852,19,25,11526,5731,4446,1348,13679,12825,4,190,0,0,0,208,15,3,0,11,2,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,2518,0,0,8226,250,1243,0,8210,0,0,0,8237,486,0,0,8316,1173,0,0,8347,0,0,0,8200,8300,5008,5008,5001,7.7,8.2,556.4000000000001,492,557.7,376.3,345.9,234.6,"MIDDLE","SOLO",,,,,,,0.5,1.2999999999999998,,,6.7000000000000455,34.20000000000002,,,,,-310.20000000000005,-112.6,,
676591860,"LA1",1552697731420,2145,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,false,false,false,false,true,false,false,2,0,1,0,0,0,0,7,7,14,4,"PLATINUM",1052,2033,1026,3135,3285,3020,3363,2,8,5,2,1,1,753,0,0,0,0,0,110968,84275,17884,8808,0,15958,14594,924,439,5966,1,12436,677,677,17,16,33930,15094,18359,476,9552,8885,0,147,12,12,0,36,16,2,0,8,0,false,false,false,false,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1027,0,0,8139,1237,0,0,8138,9,0,0,8135,3073,4,0,8316,1230,0,0,8347,0,0,0,8100,8300,5008,5003,5001,4.4,5.2,427.2,415.3,318.20000000000005,210.1,746,427.9,"MIDDLE","SOLO",3.8,3.2,614.4,348,244.2,245.6,-0.9000000000000004,-0.9999999999999996,-0.7999999999999998,-0.5999999999999999,-80.1,-21.5,-86.60000000000002,32.699999999999974,1576,1220.7,344.79999999999995,51.69999999999999,1014.4,808.5
676549316,"LA1",1552695817479,1465,420,11,13,"9.5.265.6479","CLASSIC","MATCHED_GAME",200,true,true,false,true,false,true,true,7,0,0,2,0,1,0,10,7,14,4,"PLATINUM",1026,0,1052,3020,3165,1056,3363,6,3,6,5,3,1,288,1,1,0,0,0,69545,42498,20400,6645,0,16389,13905,1726,758,3856,1,6007,3224,3092,14,24,15109,8970,5569,570,8910,6160,0,109,0,0,0,28,13,1,0,7,0,false,false,false,false,false,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1094,0,0,8139,866,0,0,8138,19,0,0,8135,1418,5,0,8316,739,0,0,8347,0,0,0,8100,8300,5008,5003,5001,5,4.6,481.1,376.70000000000005,287.5,247.6,665.0999999999999,480.29999999999995,"MIDDLE","SOLO",,,,,,,-0.7999999999999998,-0.7999999999999998,,,0.4000000000000057,-64,,,,,-345.1,26.299999999999983,,
